feature,importance
f_109,0.22181734376334575
f_2,0.21691677583734456
f_1,0.20974647475917757
f_0,0.18881083993841116
f_211,0.04118421516917298
f_132,0.029232185962750113
f_232,0.02827548305442924
f_14,0.01670907898058404
f_93,0.014421438106412235
f_164,0.010634977713850304
f_85,0.0021973663598326473
f_216,0.0018450342118287153
f_149,0.001825399132581831
f_147,0.001389090151304303
f_53,0.0012858367347320513
f_64,0.0012245425526080053
f_157,0.001194174944989339
f_162,0.0011436992165595973
f_137,0.0010619645674012131
f_33,0.0010591884001916669
f_171,0.00103495775610977
f_30,0.0009173952299341158
f_79,0.0006812941546067242
f_196,0.0006761573385840089
f_123,0.0006625760731803136
f_167,0.0004960539240202181
f_40,0.0004782303920269192
f_159,0.0004323958575342776
f_86,0.00033044008064844256
f_116,0.00031989537906725854
f_207,0.00021478840794838188
f_227,0.00016957620597112807
f_209,0.00015360931248204154
f_236,0.0001436516188851844
f_215,0.00011977418561779962
f_203,0.00011224308051891441
f_121,9.706060843197212e-05
f_192,9.42650270158011e-05
f_126,8.908611317866966e-05
f_23,8.873221463858528e-05
f_20,7.579558680380673e-05
f_202,7.047513972858015e-05
f_172,5.057280618418189e-05
f_194,4.839023820743725e-05
f_133,4.499049459457384e-05
f_144,4.460108224657016e-05
f_13,4.409090694586616e-05
f_70,4.271166448593399e-05
f_165,3.4949015416665266e-05
f_229,2.9856246714179668e-05
f_145,2.3508494273225463e-05
f_191,2.3327635024829713e-05
f_94,2.2536632830973322e-05
f_204,1.9210789924840268e-05
f_214,1.8362051298521367e-05
f_119,1.4470195467104957e-05
f_114,1.110840924157321e-05
f_146,1.0007416743641082e-05
f_231,6.597769295041028e-06
f_73,6.479763975568661e-06
f_3,6.427195748617059e-06
f_234,5.951435496422427e-06
f_161,5.615461192793362e-06
f_181,5.377115037747656e-06
f_115,4.369848754701397e-06
f_143,4.358537923509018e-06
f_197,4.061279465409692e-06
f_173,4.060035850525852e-06
f_239,3.6371486857438887e-06
f_177,3.5798733967428884e-06
f_222,3.500999860085313e-06
f_163,3.119777307017767e-06
f_160,2.715632885816999e-06
f_200,2.7134108580766717e-06
f_158,2.5627073073901395e-06
f_168,2.071221228483403e-06
f_166,1.709137528221582e-06
f_128,1.5568104020407837e-06
f_4,1.1787061245981552e-06
f_183,9.433752590597231e-07
f_139,8.33414423657133e-07
f_187,3.2201795234548727e-07
f_110,5.639884510623359e-17
f_185,5.725081858701599e-18
f_201,0.0
f_224,0.0
f_18,0.0
f_5,0.0
f_226,0.0
f_225,0.0
f_17,0.0
f_19,0.0
f_223,0.0
f_16,0.0
f_221,0.0
f_220,0.0
f_219,0.0
f_15,0.0
f_228,0.0
f_230,0.0
f_169,0.0
f_233,0.0
f_156,0.0
f_155,0.0
f_154,0.0
f_153,0.0
f_152,0.0
f_151,0.0
f_150,0.0
f_235,0.0
f_148,0.0
f_237,0.0
f_238,0.0
f_240,0.0
f_218,0.0
f_6,0.0
f_217,0.0
f_184,0.0
f_198,0.0
f_11,0.0
f_12,0.0
f_195,0.0
f_205,0.0
f_193,0.0
f_206,0.0
f_10,0.0
f_190,0.0
f_21,0.0
f_188,0.0
f_208,0.0
f_186,0.0
f_9,0.0
f_199,0.0
f_182,0.0
f_210,0.0
f_180,0.0
f_179,0.0
f_178,0.0
f_8,0.0
f_176,0.0
f_175,0.0
f_174,0.0
f_212,0.0
f_213,0.0
f_7,0.0
f_170,0.0
f_189,0.0
f_37,0.0
f_142,0.0
f_74,0.0
f_63,0.0
f_34,0.0
f_65,0.0
f_66,0.0
f_67,0.0
f_68,0.0
f_69,0.0
f_71,0.0
f_72,0.0
f_75,0.0
f_61,0.0
f_76,0.0
f_77,0.0
f_78,0.0
f_32,0.0
f_80,0.0
f_81,0.0
f_82,0.0
f_83,0.0
f_84,0.0
f_62,0.0
f_60,0.0
f_141,0.0
f_48,0.0
f_39,0.0
f_36,0.0
f_41,0.0
f_42,0.0
f_43,0.0
f_44,0.0
f_45,0.0
f_46,0.0
f_47,0.0
f_49,0.0
f_59,0.0
f_50,0.0
f_51,0.0
f_52,0.0
f_35,0.0
f_54,0.0
f_55,0.0
f_56,0.0
f_57,0.0
f_58,0.0
f_31,0.0
f_29,0.0
f_87,0.0
f_127,0.0
f_26,0.0
f_117,0.0
f_118,0.0
f_120,0.0
f_25,0.0
f_122,0.0
f_24,0.0
f_124,0.0
f_125,0.0
f_129,0.0
f_88,0.0
f_130,0.0
f_131,0.0
f_134,0.0
f_135,0.0
f_136,0.0
f_22,0.0
f_138,0.0
f_38,0.0
f_140,0.0
f_113,0.0
f_112,0.0
f_111,0.0
f_27,0.0
f_89,0.0
f_90,0.0
f_91,0.0
f_92,0.0
f_28,0.0
f_95,0.0
f_96,0.0
f_97,0.0
f_98,0.0
f_99,0.0
f_100,0.0
f_101,0.0
f_102,0.0
f_103,0.0
f_104,0.0
f_105,0.0
f_106,0.0
f_107,0.0
f_108,0.0
f_241,0.0
