feature,importance
f_1,0.27056310856014826
f_2,0.19740785085986085
f_0,0.19491788069052154
f_33,0.1575331771481187
f_133,0.05594609406526206
f_55,0.03364167910797246
f_153,0.023853032807951535
f_87,0.015231864037652941
f_9,0.013475596139199107
f_30,0.01115665140149244
f_27,0.004750726903427813
f_138,0.0033821181536971196
f_23,0.002066286054371408
f_15,0.0019823664795052174
f_80,0.0016404954653449243
f_19,0.0015810125835204244
f_85,0.00153726379309555
f_72,0.0014810220021822544
f_18,0.0013005398324361483
f_60,0.0010137113646112395
f_70,0.00095886131128716
f_118,0.000944298141400597
f_94,0.000911357531528869
f_156,0.00045304963852930275
f_47,0.0004316767689104067
f_82,0.0003247260461727437
f_90,0.00025386784241147403
f_148,0.00021092495510651553
f_129,0.0001360821151565305
f_49,0.00010839171245999683
f_143,8.298875995987347e-05
f_40,7.867054741672526e-05
f_95,7.768201007783397e-05
f_45,6.238066370380392e-05
f_125,5.822036093803876e-05
f_131,5.429525859728708e-05
f_124,5.0001116169787255e-05
f_137,4.988936411076256e-05
f_114,4.9031574311707713e-05
f_150,3.423724467291894e-05
f_88,3.0353816029346677e-05
f_38,2.1969933588432435e-05
f_113,1.919710575991295e-05
f_67,1.8624598310804448e-05
f_126,1.8255739745073188e-05
f_43,1.249027104124547e-05
f_56,1.2279378543295041e-05
f_152,1.2054463548240515e-05
f_3,9.07359637938576e-06
f_44,8.273430257385775e-06
f_83,8.243901759555425e-06
f_119,6.149947789856844e-06
f_136,6.061950371025404e-06
f_116,5.461827611971806e-06
f_46,4.8540352872963635e-06
f_69,3.580088390270374e-06
f_146,3.320366075841038e-06
f_122,2.9884930053965666e-06
f_104,2.1582828142803512e-06
f_51,1.4983603964171553e-06
f_151,2.1615002152823915e-16
f_61,1.3685263836356156e-16
f_62,1.2654372070305138e-16
f_155,9.449381369372105e-17
f_41,1.6260047019550024e-17
f_112,0.0
f_111,0.0
f_157,0.0
f_109,0.0
f_108,0.0
f_107,0.0
f_154,0.0
f_158,0.0
f_159,0.0
f_106,0.0
f_105,0.0
f_115,0.0
f_103,0.0
f_110,0.0
f_149,0.0
f_117,0.0
f_101,0.0
f_140,0.0
f_4,0.0
f_141,0.0
f_142,0.0
f_135,0.0
f_134,0.0
f_5,0.0
f_132,0.0
f_130,0.0
f_120,0.0
f_144,0.0
f_145,0.0
f_128,0.0
f_127,0.0
f_147,0.0
f_139,0.0
f_123,0.0
f_121,0.0
f_102,0.0
f_14,0.0
f_100,0.0
f_32,0.0
f_54,0.0
f_53,0.0
f_52,0.0
f_50,0.0
f_48,0.0
f_42,0.0
f_39,0.0
f_37,0.0
f_36,0.0
f_35,0.0
f_34,0.0
f_10,0.0
f_31,0.0
f_57,0.0
f_11,0.0
f_29,0.0
f_28,0.0
f_12,0.0
f_26,0.0
f_25,0.0
f_24,0.0
f_13,0.0
f_22,0.0
f_21,0.0
f_20,0.0
f_17,0.0
f_8,0.0
f_58,0.0
f_99,0.0
f_7,0.0
f_98,0.0
f_97,0.0
f_96,0.0
f_93,0.0
f_92,0.0
f_91,0.0
f_89,0.0
f_16,0.0
f_6,0.0
f_86,0.0
f_84,0.0
f_81,0.0
f_79,0.0
f_59,0.0
f_78,0.0
f_77,0.0
f_76,0.0
f_75,0.0
f_74,0.0
f_73,0.0
f_71,0.0
f_68,0.0
f_66,0.0
f_65,0.0
f_64,0.0
f_63,0.0
f_160,0.0
